PNratio,BagSizePercentage,MaxDepth,NumTree,F-measure,Denbora
14,1,1,30,0.55,55869400
14,1,1,31,0.5714285714285713,61906900
14,1,1,32,0.5365853658536585,61132400
14,1,1,33,0.5333333333333332,92783000
14,1,1,34,0.5333333333333332,78263900
15,1,1,10,0.6046511627906976,25679700
15,1,1,11,0.6363636363636365,27031000
15,1,1,12,0.6046511627906976,26749200
15,1,1,13,0.5909090909090908,34540400
15,1,1,14,0.5909090909090908,41951800
15,1,1,15,0.6666666666666666,35399900
15,1,1,16,0.6956521739130435,34711400
15,1,1,17,0.723404255319149,38749100
15,1,1,18,0.6956521739130435,37985600
15,1,1,19,0.7083333333333333,40679800
15,1,1,20,0.7083333333333333,69468500
15,1,1,21,0.7083333333333333,54666100
15,1,1,22,0.6808510638297872,47768700
15,1,1,23,0.6808510638297872,45707200
15,1,1,24,0.6808510638297872,48329100
15,1,1,25,0.7083333333333333,49074300
15,1,1,26,0.6808510638297872,53720300
15,1,1,27,0.7083333333333333,51941300
15,1,1,28,0.6808510638297872,54013800
15,1,1,29,0.6938775510204082,78482700
15,1,1,30,0.723404255319149,81762900
15,1,1,31,0.7083333333333333,67606500
15,1,1,32,0.6363636363636365,62126900
15,1,1,33,0.6382978723404256,64564900
15,1,1,34,0.6521739130434783,61966400
16,1,1,10,0.5128205128205129,22368600
16,1,1,11,0.5581395348837209,24677200
16,1,1,12,0.4878048780487805,26513000
